permutation,max_abs_partial_r
0,0.0426050342540027
1,0.034802229679011594
2,0.05735538145642269
3,0.06584909657004295
4,0.07393348319356342
5,0.07554926707245059
6,0.04477146160871039
7,0.06106645349069581
8,0.05017982045727282
9,0.06685047053958505
10,0.016358586734618732
11,0.08430302166854595
12,0.04454719757125137
13,0.049021539715131034
14,0.04373931672278748
15,0.03562266595280715
16,0.0737827995358884
17,0.03713795793368063
18,0.04114018826830203
19,0.02593346333184294
20,0.013110642064469921
21,0.09451441774552784
22,0.045128077778293765
23,0.11860609854742478
24,0.04837981619168135
25,0.04612295182757089
26,0.017783839307846633
27,0.014575474651609306
28,0.01261343238163411
29,0.10110689526003556
30,0.049171066324416285
31,0.05879136756119171
32,0.012798650995203274
33,0.07217301783220711
34,0.07048471866383535
35,0.047011271484106436
36,0.05473253589490605
37,0.01026248697079911
38,0.06239848303459853
39,0.11029461924932331
40,0.019872770148901563
41,0.06656131746849528
42,0.02531878382871621
43,0.059289035725637464
44,0.04949975944121037
45,0.007879105068684864
46,0.05522796981976026
47,0.0799335552441728
48,0.013751890180653991
49,0.05331484784105396
50,0.0572552872059579
51,0.03030777747955296
52,0.06564474812405634
53,0.06917394127242635
54,0.03669822996530625
55,0.0510931121240947
56,0.05806656041639531
57,0.037665393720493455
58,0.0020162082458904424
59,0.028390658402522483
60,0.030695222307153262
61,0.07768583232257041
62,0.015358981271234943
63,0.01214981313588267
64,0.05901338184650689
65,0.0696816913067356
66,0.0267329381007009
67,0.027701436864786544
68,0.03184392397684471
69,0.07281437179329964
70,0.03626999182695952
71,0.07604178570291738
72,0.0500258966321246
73,0.009575745181260194
74,0.07621325876738504
75,0.038100702104259296
76,0.044250654481644114
77,0.014392397851311092
78,0.07007741170165398
79,0.04866488817984184
80,0.03155685101836936
81,0.005836277493505079
82,0.08249980836344491
83,0.04265143164107609
84,0.0778376950054446
85,0.06292069159003186
86,0.027170715981792815
87,0.012204842610886744
88,0.07964867928413964
89,0.021377572758484637
90,0.018554904513111155
91,0.08926677254886797
92,0.11152378351186552
93,0.023412256462516913
94,0.07805001394117711
95,0.11661123845716584
96,0.04641316913166532
97,0.01861662445539071
98,0.019279175498697034
99,0.11016021235907156
100,0.03562263715453377
101,0.12191263743735227
102,0.028840979260652162
103,0.09294612589748895
104,0.0247003421734491
105,0.057307005992642226
106,0.06254249776371155
107,0.02707464080372481
108,0.10796535351162222
109,0.0354953045463138
110,0.022940679761222084
111,0.018723093902219816
112,0.017556460887823363
113,0.0705611965677018
114,0.04888509299996156
115,0.07655017313832983
116,0.03465989221271485
117,0.06631680657907865
118,0.043729556754161375
119,0.047502840204426564
120,0.021124601448236895
