control_set,permutation,max_abs_partial_r
level_controlled,0,0.07857344601775361
level_controlled,1,0.08494138388789607
level_controlled,2,0.08263218049584406
level_controlled,3,0.09311915667956325
level_controlled,4,0.0971269133451978
level_controlled,5,0.07468806100483777
level_controlled,6,0.10332352582068777
level_controlled,7,0.0702214561290793
level_controlled,8,0.07260794983812188
level_controlled,9,0.1388084737602768
level_controlled,10,0.15487079141334117
level_controlled,11,0.05905529746223508
level_controlled,12,0.10005095493875642
level_controlled,13,0.1243582853493427
level_controlled,14,0.11105831405770365
level_controlled,15,0.08676014810289444
level_controlled,16,0.11250676257279603
level_controlled,17,0.10123407137841142
level_controlled,18,0.0977290276448283
level_controlled,19,0.13196389586521592
level_controlled,20,0.0907076316426604
level_controlled,21,0.09856078740471456
level_controlled,22,0.09082750241458389
level_controlled,23,0.12028900282750733
level_controlled,24,0.10331852101524211
level_controlled,25,0.08288073606789445
level_controlled,26,0.1619887070384812
level_controlled,27,0.07818290965215158
level_controlled,28,0.09972141081406957
level_controlled,29,0.07678597683856901
level_controlled,30,0.06037840029779643
level_controlled,31,0.079697216290082
level_controlled,32,0.09235066114431015
level_controlled,33,0.10112986444679327
level_controlled,34,0.0726454758874327
level_controlled,35,0.1664948462017773
level_controlled,36,0.08276704019948214
level_controlled,37,0.09546625568426068
level_controlled,38,0.08006587443624674
level_controlled,39,0.1029578640272093
level_controlled,40,0.12372715125214075
level_controlled,41,0.0957085231459827
level_controlled,42,0.08814094961271429
level_controlled,43,0.12154547529942708
level_controlled,44,0.08816140054319282
level_controlled,45,0.07034449259111605
level_controlled,46,0.1255842684914651
level_controlled,47,0.08850485577640646
level_controlled,48,0.08203170563010803
level_controlled,49,0.09305457208378534
level_controlled,50,0.10485684305614695
level_controlled,51,0.08666379346252329
level_controlled,52,0.08615123824027078
level_controlled,53,0.0889670582410341
level_controlled,54,0.08212095083970937
level_controlled,55,0.11751673568547266
level_controlled,56,0.14212618236591004
level_controlled,57,0.09717152841596056
level_controlled,58,0.09043612082402347
level_controlled,59,0.09744854625123754
level_controlled,60,0.11336943081319126
level_controlled,61,0.09220816308856933
level_controlled,62,0.08569516546415118
level_controlled,63,0.085842872403178
level_controlled,64,0.09071810346813992
level_controlled,65,0.08247846992913245
level_controlled,66,0.08310950834223522
level_controlled,67,0.13081912667768927
level_controlled,68,0.08415990164363708
level_controlled,69,0.10129977317775345
level_controlled,70,0.06710934837600367
level_controlled,71,0.1386426517086088
level_controlled,72,0.06604002865602389
level_controlled,73,0.10795498193919525
level_controlled,74,0.10016724259246096
level_controlled,75,0.14935171993697496
level_controlled,76,0.07966737862452436
level_controlled,77,0.10646747245777423
level_controlled,78,0.10540970165590649
level_controlled,79,0.09153413966811612
level_controlled,80,0.09976424978820725
level_controlled,81,0.08022130865010312
level_controlled,82,0.10802776788128035
level_controlled,83,0.13582568220978405
level_controlled,84,0.08269965427048658
level_controlled,85,0.0815279755975095
level_controlled,86,0.06405799686624147
level_controlled,87,0.10855927898863142
level_controlled,88,0.10830551870720422
level_controlled,89,0.0883596623613427
level_controlled,90,0.0982216296254547
level_controlled,91,0.10622309910577467
level_controlled,92,0.09415070802501253
level_controlled,93,0.09576648989784453
level_controlled,94,0.057405191594950555
level_controlled,95,0.09923972505214558
level_controlled,96,0.054965278425813134
level_controlled,97,0.13723437830003324
level_controlled,98,0.07699130575332035
level_controlled,99,0.09524989245597132
level_controlled,100,0.06492847710911402
level_controlled,101,0.0729457591495656
level_controlled,102,0.0929091334456289
level_controlled,103,0.11236160987889146
level_controlled,104,0.09013785221259771
level_controlled,105,0.06825240116004759
level_controlled,106,0.09090461935826526
level_controlled,107,0.1052294987136087
level_controlled,108,0.11346584951359079
level_controlled,109,0.051978422183638816
level_controlled,110,0.08965900939934206
level_controlled,111,0.10981629879199117
level_controlled,112,0.07157368822335902
level_controlled,113,0.10663588228627355
level_controlled,114,0.09379098992236781
level_controlled,115,0.08882820677895166
level_controlled,116,0.079017128644175
level_controlled,117,0.0820772826386572
level_controlled,118,0.10985886430024165
level_controlled,119,0.08583178371888218
level_controlled,120,0.08411638072924801
level_controlled,121,0.11575009468807054
level_controlled,122,0.08510730397216974
level_controlled,123,0.08754211461650296
level_controlled,124,0.11796176204679322
level_controlled,125,0.10410365079532473
level_controlled,126,0.07459860943896046
level_controlled,127,0.09007066772699537
level_controlled,128,0.07559795486351507
level_controlled,129,0.09949172411404633
level_controlled,130,0.0563462851315201
level_controlled,131,0.11019658609347284
level_controlled,132,0.12844579884889915
level_controlled,133,0.13719754586116634
level_controlled,134,0.13805989234701307
level_controlled,135,0.0750039856397181
level_controlled,136,0.0769958164584139
level_controlled,137,0.06161150635243798
level_controlled,138,0.10383397633199368
level_controlled,139,0.05342762831230068
level_controlled,140,0.07372078047389245
level_controlled,141,0.07226892915387574
level_controlled,142,0.08319796589106802
level_controlled,143,0.08905321736335135
level_controlled,144,0.08648905311015653
level_controlled,145,0.07950086486556997
level_controlled,146,0.11163795337139938
level_controlled,147,0.09935687171108137
level_controlled,148,0.06135077375090931
level_controlled,149,0.0970208093011907
level_controlled,150,0.08645179981218526
level_controlled,151,0.07556910597663906
level_controlled,152,0.1303047822337424
